mean_accuracy,std_accuracy,robust_score,params_json,fold_scores_json
0.8301424894859082,0.026837318387752364,0.8207494280501949,"{""colsample_bytree"": 1.0, ""gamma"": 0.0, ""learning_rate"": 0.03, ""max_depth"": 2, ""min_child_weight"": 1, ""n_estimators"": 220, ""reg_alpha"": 0.2, ""reg_lambda"": 1.0, ""subsample"": 0.8}","[0.8324022346368715, 0.8146067415730337, 0.8146067415730337, 0.8370786516853933, 0.8426966292134831, 0.8268156424581006, 0.848314606741573, 0.8089887640449438, 0.8314606741573034, 0.8314606741573034, 0.8603351955307262, 0.7696629213483146, 0.8033707865168539, 0.8370786516853933, 0.8932584269662921]"
0.8305044671813864,0.028035886519470494,0.8206919068995717,"{""colsample_bytree"": 0.8, ""gamma"": 0.0, ""learning_rate"": 0.06, ""max_depth"": 3, ""min_child_weight"": 3, ""n_estimators"": 120, ""reg_alpha"": 0.2, ""reg_lambda"": 4.0, ""subsample"": 0.8}","[0.8435754189944135, 0.797752808988764, 0.797752808988764, 0.8539325842696629, 0.8426966292134831, 0.8603351955307262, 0.848314606741573, 0.8089887640449438, 0.8314606741573034, 0.8202247191011236, 0.8491620111731844, 0.7696629213483146, 0.8146067415730337, 0.8370786516853933, 0.8820224719101124]"
0.8305232983909778,0.028309160270695743,0.8206150922962343,"{""colsample_bytree"": 1.0, ""gamma"": 0.0, ""learning_rate"": 0.06, ""max_depth"": 2, ""min_child_weight"": 1, ""n_estimators"": 120, ""reg_alpha"": 0.0, ""reg_lambda"": 4.0, ""subsample"": 0.8}","[0.8268156424581006, 0.8089887640449438, 0.8258426966292135, 0.8370786516853933, 0.8539325842696629, 0.8268156424581006, 0.8539325842696629, 0.8033707865168539, 0.8426966292134831, 0.8258426966292135, 0.8491620111731844, 0.7696629213483146, 0.8033707865168539, 0.8314606741573034, 0.898876404494382]"
0.8305128366078717,0.028507525925852577,0.8205352025338233,"{""colsample_bytree"": 0.8, ""gamma"": 0.0, ""learning_rate"": 0.06, ""max_depth"": 2, ""min_child_weight"": 1, ""n_estimators"": 120, ""reg_alpha"": 0.0, ""reg_lambda"": 1.0, ""subsample"": 0.95}","[0.8268156424581006, 0.797752808988764, 0.8089887640449438, 0.8314606741573034, 0.8370786516853933, 0.8379888268156425, 0.8595505617977528, 0.8146067415730337, 0.8370786516853933, 0.8314606741573034, 0.8659217877094972, 0.7696629213483146, 0.8089887640449438, 0.8370786516853933, 0.8932584269662921]"
0.8305128366078716,0.028731363606005925,0.8204568593457695,"{""colsample_bytree"": 0.8, ""gamma"": 0.0, ""learning_rate"": 0.03, ""max_depth"": 3, ""min_child_weight"": 1, ""n_estimators"": 120, ""reg_alpha"": 0.0, ""reg_lambda"": 4.0, ""subsample"": 0.95}","[0.8435754189944135, 0.8089887640449438, 0.797752808988764, 0.8426966292134831, 0.8426966292134831, 0.8268156424581006, 0.8426966292134831, 0.8033707865168539, 0.848314606741573, 0.8258426966292135, 0.8603351955307262, 0.7696629213483146, 0.8089887640449438, 0.8426966292134831, 0.8932584269662921]"
0.8301445818425293,0.027975805985904764,0.8203530497474626,"{""colsample_bytree"": 1.0, ""gamma"": 0.0, ""learning_rate"": 0.03, ""max_depth"": 3, ""min_child_weight"": 1, ""n_estimators"": 120, ""reg_alpha"": 0.0, ""reg_lambda"": 4.0, ""subsample"": 0.95}","[0.8491620111731844, 0.8089887640449438, 0.8033707865168539, 0.8426966292134831, 0.8426966292134831, 0.8156424581005587, 0.8707865168539326, 0.797752808988764, 0.8426966292134831, 0.8314606741573034, 0.8491620111731844, 0.7752808988764045, 0.8033707865168539, 0.8370786516853933, 0.8820224719101124]"
0.8282740150231205,0.022700265792640933,0.8203289219956962,"{""colsample_bytree"": 0.8, ""gamma"": 0.0, ""learning_rate"": 0.03, ""max_depth"": 2, ""min_child_weight"": 1, ""n_estimators"": 120, ""reg_alpha"": 0.2, ""reg_lambda"": 1.0, ""subsample"": 0.8}","[0.8324022346368715, 0.8033707865168539, 0.8089887640449438, 0.8370786516853933, 0.8595505617977528, 0.8379888268156425, 0.8258426966292135, 0.8146067415730337, 0.8314606741573034, 0.8370786516853933, 0.8379888268156425, 0.7752808988764045, 0.8202247191011236, 0.8258426966292135, 0.8764044943820225]"
0.8297637729374596,0.027042639980888208,0.8202988489441487,"{""colsample_bytree"": 1.0, ""gamma"": 0.0, ""learning_rate"": 0.03, ""max_depth"": 3, ""min_child_weight"": 3, ""n_estimators"": 120, ""reg_alpha"": 0.2, ""reg_lambda"": 4.0, ""subsample"": 0.95}","[0.8491620111731844, 0.797752808988764, 0.7921348314606742, 0.8370786516853933, 0.848314606741573, 0.8379888268156425, 0.8539325842696629, 0.8089887640449438, 0.848314606741573, 0.8314606741573034, 0.8435754189944135, 0.7752808988764045, 0.8089887640449438, 0.8314606741573034, 0.8820224719101124]"
0.829401795241981,0.02619236505540061,0.8202344674725908,"{""colsample_bytree"": 1.0, ""gamma"": 0.0, ""learning_rate"": 0.03, ""max_depth"": 2, ""min_child_weight"": 1, ""n_estimators"": 120, ""reg_alpha"": 0.0, ""reg_lambda"": 4.0, ""subsample"": 0.95}","[0.8324022346368715, 0.8033707865168539, 0.8146067415730337, 0.8258426966292135, 0.8651685393258427, 0.8268156424581006, 0.8314606741573034, 0.8146067415730337, 0.8314606741573034, 0.8426966292134831, 0.8379888268156425, 0.7808988764044944, 0.8089887640449438, 0.8258426966292135, 0.898876404494382]"
0.8286464545017054,0.024499559054425225,0.8200716088326565,"{""colsample_bytree"": 0.8, ""gamma"": 0.0, ""learning_rate"": 0.03, ""max_depth"": 2, ""min_child_weight"": 1, ""n_estimators"": 220, ""reg_alpha"": 0.0, ""reg_lambda"": 1.0, ""subsample"": 0.95}","[0.8324022346368715, 0.8033707865168539, 0.8089887640449438, 0.8314606741573034, 0.8370786516853933, 0.8379888268156425, 0.8539325842696629, 0.8089887640449438, 0.8426966292134831, 0.8314606741573034, 0.8435754189944135, 0.7696629213483146, 0.8089887640449438, 0.8426966292134831, 0.8764044943820225]"
